question,answer
What EEG patterns are seen in epilepsy?,"Epileptic EEG patterns include: interictal epileptiform discharges (IEDs) – spikes, sharp waves, spike-and-wave complexes seen between seizures; ictal patterns – rhythmic activity during seizure; 3 Hz spike-wave – characteristic of childhood absence epilepsy; hypsarrhythmia – chaotic high-amplitude slow waves with spikes seen in West syndrome; generalized spike-wave – in idiopathic generalized epilepsies. Absence of EEG abnormalities does NOT rule out epilepsy, as the sensitivity of a routine EEG is only 50-60%."
What medications are used to treat epilepsy?,"Antiseizure medications (ASMs) include: First-line: Levetiracetam (broad-spectrum, well-tolerated), Lamotrigine (broad-spectrum), Valproate (highly effective but teratogenic), Carbamazepine/Oxcarbazepine (focal epilepsies). Second-line: Topiramate, Zonisamide, Lacosamide, Brivaracetam, Perampanel. Choice depends on seizure type, epilepsy syndrome, age, sex, and comorbidities. About 70% of patients achieve seizure control with medication. Drug-resistant epilepsy (failure of 2 appropriate ASMs) may require surgery or neurostimulation."
What is the difference between Alzheimer's disease and vascular dementia?,"Alzheimer's disease (AD): Gradual insidious onset, progressive decline, prominent early memory impairment, global brain atrophy on MRI, amyloid plaques and tau tangles pathologically, relative preservation of motor functions until late stages. Vascular dementia (VaD): Stepwise or abrupt onset following strokes/TIAs, prominent executive dysfunction and gait problems early, white matter changes and infarcts on MRI, vascular risk factors present, motor/gait abnormalities common early. Mixed dementia (AD + VaD) is very common in the elderly. Treatment approaches differ: VaD focuses on vascular risk factor management."
What are the risk factors for Alzheimer's disease?,"Non-modifiable risk factors: Age (greatest risk factor, risk doubles every 5 years after 65), genetics (APOE ε4 allele increases risk 3-4 fold, APOE ε4/ε4 increases 8-12 fold), family history, Down syndrome, female sex (slightly higher risk). Modifiable risk factors: Hypertension in midlife, diabetes, obesity, physical inactivity, smoking, excessive alcohol, traumatic brain injury, depression, social isolation, low educational attainment, air pollution, hearing loss. Addressing modifiable factors could theoretically prevent 40% of dementia cases."
What is the role of amyloid and tau in Alzheimer's disease?,"Amyloid-beta (Aβ): A peptide cleaved from amyloid precursor protein (APP). In AD, Aβ misfolds and aggregates into oligomers (toxic) and senile plaques (insoluble deposits). Aβ accumulation may begin 15-20 years before symptoms. Tau: A microtubule-stabilizing protein. In AD, tau becomes hyperphosphorylated, dissociates from microtubules, and forms neurofibrillary tangles (NFTs) inside neurons, disrupting axonal transport and causing cell death. The amyloid cascade hypothesis posits Aβ triggers tau pathology and neurodegeneration. Anti-amyloid therapies (lecanemab) target this pathway."
How is the severity of Alzheimer's disease measured clinically?,"Clinical severity is assessed using: MMSE (Mini-Mental State Examination) – 30-point scale; ≥24 normal, 19-23 mild, 10-18 moderate, <10 severe. MoCA (Montreal Cognitive Assessment) – more sensitive than MMSE for MCI. CDR (Clinical Dementia Rating) – 0 to 3 scale assessing memory, orientation, judgment, community affairs, home/hobbies, personal care. ADAS-cog – used in clinical trials. Functional scales (FAQ, DAD) assess ability to perform daily activities. Neuropsychological testing provides detailed cognitive profile. Biomarker staging (A/T/N) uses CSF, PET, and MRI."
What is mild cognitive impairment (MCI) and how does it relate to Alzheimer's?,"MCI is a transitional state between normal aging and dementia. It involves objective cognitive decline greater than expected for age but WITHOUT significant functional impairment. Amnestic MCI (single or multi-domain) has the highest risk of progression to Alzheimer's (approximately 10-15% per year). Diagnosis requires: patient complaint, objective cognitive test abnormalities, preserved activities of daily living. Not all MCI progresses to dementia – some remains stable or even reverts to normal. MCI patients with positive amyloid biomarkers have 'MCI due to Alzheimer's disease' and higher conversion risk."
What is the difference between EEG and fMRI in brain imaging?,"EEG measures electrical activity of the brain via scalp electrodes. It has excellent temporal resolution (milliseconds) but poor spatial resolution. Non-invasive, portable, inexpensive, and can be performed at bedside. Ideal for detecting seizures and sleep disorders. fMRI (Functional MRI) measures BOLD (Blood Oxygen Level Dependent) signal as a proxy for neural activity. It has excellent spatial resolution (millimeters) but poor temporal resolution (seconds). Not portable, expensive, and sensitive to motion. Used to map brain function, localize eloquent cortex before surgery, and study connectivity. Both are complementary tools in clinical neuroscience."
What are the warning signs of a seizure?,"Seizure warning signs (aura) – symptoms before a seizure: strange smell or taste, visual disturbances (flashing lights, hallucinations), sudden intense emotion (fear, déjà vu), nausea, tingling or numbness, dizziness, sudden confusion. Not all seizures have preceding aura. During seizure: loss of consciousness, rhythmic jerking movements, muscle stiffness, blank staring, repetitive automatisms (lip smacking, hand wringing), loss of bladder control. After seizure (postictal phase): confusion, fatigue, headache, weakness (Todd's paralysis). Prolonged or cluster seizures require emergency treatment."
What lifestyle changes can help prevent cognitive decline?,"Evidence-based lifestyle interventions: Physical exercise – aerobic exercise 150 min/week reduces dementia risk by 28-30%; it increases BDNF and promotes neurogenesis. Cognitive engagement – lifelong learning, complex mental activities build cognitive reserve. Social connection – social engagement reduces dementia risk. Diet – Mediterranean diet, MIND diet (rich in leafy greens, berries, fish, olive oil, nuts) reduces Alzheimer's risk by ~53%. Sleep – 7-9 hours optimal; poor sleep increases amyloid accumulation. Vascular risk management – controlling hypertension, diabetes, cholesterol. Smoking cessation and alcohol moderation."
What is a brain MRI and when is it used in dementia evaluation?,"Brain MRI is a standard part of dementia workup. Structural MRI (T1/T2/FLAIR) assesses: medial temporal lobe and hippocampal atrophy (supportive of Alzheimer's), white matter hyperintensities (vascular disease), cortical atrophy patterns (frontotemporal vs parietal/temporal in Alzheimer's), normal pressure hydrocephalus, tumors, strokes, and other treatable causes. Advanced MRI techniques: DTI (white matter integrity), ASL perfusion, resting-state fMRI. MRI cannot definitively diagnose Alzheimer's – it's supportive. Amyloid and tau PET scans directly detect disease pathology and are increasingly used in clinical practice."
What is the prevalence and epidemiology of Alzheimer's disease?,"Alzheimer's disease affects approximately 55 million people worldwide (2023), accounting for 60-70% of all dementia cases. Prevalence doubles every 5 years after age 65: ~5% at 65-74, ~13% at 75-84, ~33% at 85+. In the US, approximately 6.9 million people have Alzheimer's. Women are disproportionately affected (2:1 female:male ratio, partly due to longer lifespan). Annual global cost exceeds $1.3 trillion. By 2050, due to aging populations, prevalence may triple to 150+ million globally. Developing countries bear an increasing burden."
What causes epilepsy?,"Epilepsy causes include: Structural – hippocampal sclerosis, cortical malformations, tumors, vascular malformations, stroke (most common cause in the elderly), trauma. Genetic – ion channel mutations (SCN1A in Dravet syndrome), inherited syndromes, copy number variants. Infectious – bacterial/viral meningitis/encephalitis, neurocysticercosis (most common cause globally). Immune – autoimmune encephalitis (NMDA-R antibodies), inflammatory conditions. Metabolic – pyridoxine deficiency (neonates), glucose transporter defects. Unknown – ~30% of adult epilepsy, likely genetic with incomplete penetrance. Age at onset helps narrow the differential diagnosis."
What is status epilepticus and how is it treated?,"Status epilepticus (SE) is a seizure lasting >5 minutes OR two or more seizures without return to baseline between them. It is a medical emergency with 8-22% mortality if untreated. Treatment follows a protocol: Phase 1 (0-5 min): Secure airway, IV access, check glucose, give thiamine. Phase 2 (5-20 min): Benzodiazepines – Lorazepam 0.1 mg/kg IV (first-line), or Diazepam, Midazolam IM if no IV access. Phase 3 (20-40 min): Fosphenytoin 20 mg PE/kg IV, or Valproate 40 mg/kg IV, or Levetiracetam 60 mg/kg IV. Phase 4 (>40 min, refractory SE): ICU admission, propofol or midazolam infusion, anesthetic doses if needed. Goal is seizure cessation within 60 minutes."
What is the connection between sleep and Alzheimer's disease?,"Sleep disruption is both a risk factor for and a consequence of Alzheimer's disease. During slow-wave sleep (SWS), the glymphatic system clears amyloid-beta from the brain. Chronic sleep deprivation increases amyloid accumulation. Alzheimer's patients have disrupted circadian rhythms, reduced SWS and REM sleep, and increased nighttime agitation (sundowning). REM sleep behavior disorder (RBD) is associated with Lewy Body dementia. Treating sleep disorders in MCI/Alzheimer's may slow progression. Adequate sleep (7-9 hours/night) is an important preventive measure."
What are the behavioral and psychological symptoms of dementia (BPSD)?,"BPSD affect 90% of dementia patients and include: Mood symptoms – depression (40-50%), anxiety, apathy (most common, affects 50-70%). Psychotic symptoms – delusions (often paranoid, e.g., theft beliefs), hallucinations (usually visual in LBD). Agitation/aggression – wandering, verbal/physical aggression, restlessness. Sleep-wake disturbances – insomnia, sundowning, circadian disruption. Eating behaviors – hyperphagia or refusal to eat. Management: Non-pharmacological first (structured activities, environmental modifications, caregiver training). Pharmacological: antidepressants (SSRIs), low-dose antipsychotics (with caution – increased mortality risk), cholinesterase inhibitors for visual hallucinations in LBD."
What is neurofeedback and can it help with neurological conditions?,"Neurofeedback is a type of biofeedback that uses real-time EEG display to teach self-regulation of brain activity. It trains patients to modulate specific EEG frequency bands (e.g., increase alpha, suppress theta). Evidence supports it for: ADHD – training enhancement of sensorimotor rhythm (SMR) and beta; multiple randomized trials show efficacy. Epilepsy – SMR training can reduce seizure frequency in drug-resistant epilepsy. Limited evidence for: PTSD, anxiety, depression, traumatic brain injury. For Alzheimer's, studies are preliminary. Challenges: time-intensive, costly, limited standardization, placebo effects are difficult to control. Not yet standard of care for most conditions."
What are EEG biomarkers for mild cognitive impairment (MCI)?,"In MCI, EEG shows intermediate changes between normal aging and Alzheimer's: mild posterior alpha slowing (peak frequency 9-10 Hz, compared to 10-12 Hz in healthy elderly), slightly increased theta power, reduced alpha/theta ratio, mildly decreased coherence in temporo-parietal regions, increased EEG complexity measures in some studies. Event-related potentials (ERPs): P300 latency prolonged in MCI. The predictors of MCI-to-AD conversion include theta/alpha ratio >2, reduced posterior alpha coherence, and longer P300 latency. Combined EEG biomarkers improve prediction of conversion with ~80% accuracy in some studies."
What is the role of the hippocampus in memory and Alzheimer's disease?,"The hippocampus, located in the medial temporal lobe, is critical for encoding new declarative (explicit) memories and spatial navigation. It converts short-term memories into long-term memories through a process called memory consolidation. In Alzheimer's disease, the hippocampus is one of the first regions affected. Tau pathology (neurofibrillary tangles) begins in the entorhinal cortex and hippocampus (Braak stages I-II). Hippocampal atrophy on MRI is a key biomarker of AD, with 4-6% annual volume loss vs 0.5-1% in normal aging. This explains why episodic memory – especially for recent events – is the earliest and most prominent symptom of Alzheimer's."
What are the genetic forms of Alzheimer's disease?,"Early-onset familial Alzheimer's disease (FAD, onset <65): Autosomal dominant, rare (<5%). Caused by mutations in APP (amyloid precursor protein), PSEN1 (presenilin-1, most common), or PSEN2 (presenilin-2). These mutations increase amyloid-beta42 production. Late-onset Alzheimer's (most common): Complex genetic architecture. APOE ε4 is the strongest genetic risk factor (present in 50-60% of AD cases). Dozens of additional risk loci identified by GWAS (TREM2, CLU, CR1, BIN1, etc.). Down syndrome (trisomy 21): Extra APP gene copy leads to virtually universal AD pathology by age 40-50. Genetic testing is recommended for early-onset or strong family history cases."
What is deep brain stimulation and how is it used in neurology?,"Deep Brain Stimulation (DBS) delivers continuous electrical impulses via implanted electrodes to specific brain targets. FDA-approved uses in neurology: Parkinson's disease – targets subthalamic nucleus (STN) or globus pallidus internus (GPi), dramatically reduces tremor, rigidity, and dyskinesias. Essential tremor – thalamic VIM nucleus targeting. Dystonia – GPi targeting. Investigational uses: Epilepsy (anterior thalamus – SANTE trial showed 40% seizure reduction), treatment-resistant depression, Alzheimer's disease (fornix/nucleus basalis DBS under study). Mechanism: modulation of pathological oscillatory activity in disease-specific circuits. Surgery carries risks including hemorrhage, infection, and hardware complications."
What is vascular cognitive impairment (VCI)?,"Vascular Cognitive Impairment (VCI) is a spectrum of cognitive disorders caused by cerebrovascular disease, ranging from mild (vascular MCI) to vascular dementia. Causes include: multiple infarcts (multi-infarct dementia), strategic single infarcts (thalamus, angular gyrus), small vessel disease (white matter lesions, lacunar infarcts), cerebral amyloid angiopathy (CAA). Clinical features: Executive dysfunction and processing speed impairment are more prominent than memory loss (unlike AD), gait disturbance and urinary urgency are common, stepwise progression (though can be gradual in small vessel disease). Treatment: Vascular risk factor control (hypertension, antiplatelet therapy, statins, diabetes management), no proven disease-modifying therapy."
How does age affect normal EEG patterns?,"EEG changes with normal aging: In healthy aging, peak frequency of the posterior dominant rhythm slows from ~10-12 Hz in young adults to ~8-9 Hz in elderly (>65). Alpha amplitude may decrease. Low-amplitude theta activity in the temporal regions can appear in normal elderly ('temporal theta of the elderly'). Slow delta activity over the temporal regions is also seen. Sleep EEG shows reduced slow-wave sleep (SWS) and reduced sleep spindle density with aging. These age-related changes must be distinguished from pathological changes in dementia. Reference databases corrected for age are important in qEEG interpretation."
What are febrile seizures and are they dangerous?,"Febrile seizures occur in 2-5% of children aged 6 months to 5 years with fever. Simple febrile seizures: Duration <15 min, generalized, single seizure per illness, short postictal period. Complex febrile seizures: Duration >15 min, focal, or more than one seizure in 24 hours. Prognosis: Simple febrile seizures have an excellent prognosis. Risk of developing epilepsy is only 1-2% (slightly above the general population). Risk of recurrence: 30-40% will have another febrile seizure. Complex febrile seizures, especially prolonged, carry a higher risk of temporal lobe epilepsy. Acute management: Ensure airway safety, cool the child, benzodiazepine if seizure >5 minutes. Routine antiseizure prophylaxis is generally not recommended for simple febrile seizures."
What brain regions are affected by Alzheimer's disease?,"Alzheimer's pathology spreads in a characteristic pattern: Entorhinal cortex and hippocampus – earliest involvement (Braak stages I-II), explains early memory impairment. Transentorhinal region, parahippocampal gyrus – Braak stages III-IV, corresponds to early clinical symptoms. Temporal, parietal, and frontal neocortex – Braak stages V-VI, severe dementia stage. Cholinergic system: Nucleus basalis of Meynert (basal forebrain) loses neurons early, reducing cortical acetylcholine. Default mode network – most affected functional network. Cerebellum and primary motor/sensory cortex – relatively spared until late stages. The posterior cortical atrophy variant of AD shows predominant occipital/parietal involvement."
What is autoimmune encephalitis?,"Autoimmune encephalitis (AE) is inflammation of the brain mediated by autoantibodies against neuronal surface or synaptic proteins. Types/antibodies: Anti-NMDA-R encephalitis – most common, often paraneoplastic (ovarian teratoma in women), presents with psychiatric symptoms, seizures, movement disorders, autonomic instability. Anti-LGI1 – faciobrachial dystonic seizures, hyponatremia. Anti-CASPR2 – limbic encephalitis, Morvan syndrome. Anti-GABA-B – limbic encephalitis with prominent seizures. Total of 20+ antibodies. Diagnosis: CSF antibody testing, MRI (often normal or temporal FLAIR hyperintensity), EEG (seizures, extreme delta brush in anti-NMDA-R). Treatment: Immunotherapy (steroids, IVIG, plasmapheresis), tumor removal if applicable, escalation to rituximab if needed. Prognosis generally good with early treatment."
What are the stages of sleep and how does EEG identify them?,"Sleep stages identified by polysomnography (PSG) including EEG: Wake: Alpha (8-13 Hz) dominant when eyes closed; beta activity when eyes open/alert. NREM Stage N1 (drowsy sleep): Alpha drops, vertex sharp waves, slow eye movements, theta activity. NREM Stage N2 (light sleep): Sleep spindles (11-15 Hz bursts, 0.5-2 sec), K-complexes, no slow waves. Comprises ~50% of sleep. NREM Stage N3 (slow wave sleep/deep sleep): Delta waves (0.5-2 Hz) >20% of the epoch, high amplitude. REM sleep: Low voltage mixed frequency 'sawtooth' waves resembling wake EEG, rapid eye movements, muscle atonia. Sleep cycling: ~90 min cycles, 4-6 per night. N3 predominates in early night, REM in late night."
How is EEG used in the diagnosis and management of coma?,"EEG is essential in coma management: Diagnosis of non-convulsive status epilepticus (NCSE) – seizures without clinical manifestations occur in 8-48% of comatose patients; EEG is the only way to detect them. Prognostication after cardiac arrest – EEG pattern predicts outcome: burst suppression, brain inactivity, or persistent seizures indicate poor prognosis; continuous background activity suggests better outcome. Electrocerebral inactivity (ECI) – criterion for brain death (used alongside clinical examination and apnea test). Monitoring – continuous EEG monitoring in ICUs detects seizures and guides treatment. Sedation titration – EEG guides dosing of anesthetic agents (e.g., midazolam infusion guided toward burst suppression). Hepatic encephalopathy – triphasic waves."
What is the connection between heart health and brain health?,"Cardiovascular and brain health are intimately linked. Mechanisms of vascular cognitive impairment: Hypertension → cerebral small vessel disease → white matter lesions → vascular dementia. Atrial fibrillation → cardioembolic strokes → cognitive impairment. Heart failure → reduced cerebral perfusion → hippocampal damage. Carotid artery stenosis → TIAs/strokes. Modifiable vascular risk factors linked to Alzheimer's risk include: midlife hypertension (3x risk), midlife obesity, diabetes, smoking, dyslipidemia. Optimal blood pressure target (130/80 mmHg or lower) in midlife is associated with 34% lower dementia risk. Good cardiac health correlates with larger brain volume and better cognitive performance. Exercise improves cerebrovascular function."
What is neuroplasticity and can it compensate for Alzheimer's pathology?,"Neuroplasticity is the brain's ability to reorganize by forming new neural connections throughout life. In Alzheimer's disease, cognitive reserve (accumulated via education, cognitive engagement, bilingualism, complex occupation) can compensate for significant pathological burden before symptoms appear. This explains why highly educated individuals may have advanced pathology before meeting clinical criteria. Mechanisms include: synaptic strengthening, axonal sprouting, use of alternative neural pathways. Cognitive training can enhance neuroplasticity. However, reserve has limits – increasing pathological burden eventually overwhelms compensation. Exercise stimulates neuroplasticity via BDNF. The enriched environment promotes dendritic branching and synaptogenesis."
What is the role of the EEG in monitoring anesthesia?,"EEG-based anesthesia monitoring revolutionized depth of anesthesia assessment. Indices: BIS (Bispectral Index – a proprietary algorithm based on EEG spectral analysis; 0-100, target 40-60 for general anesthesia), Entropy (Response Entropy/State Entropy), SedLine (patient state index). Raw EEG changes with anesthesia: light sedation – alpha increase, beta decrease; moderate – burst suppression patterns; deep – isoelectric line. Age-specific patterns: elderly patients show brain inactivity at lower doses. BIS monitoring reduces the risk of intraoperative awareness and may reduce drug dosage/emergence time. EEG-based monitoring is standard in many centers, especially for high-risk patients, total IV anesthesia, and muscle relaxants."
What are the key differences between dementia and normal aging?,"Normal aging: mild word-finding difficulty but words eventually remembered, slightly slower processing speed, learning new things takes longer, occasional misplaced items, mild short-term memory lapses that don't interfere with function. Dementia: forgetting recently learned information and NOT recalling it later, getting lost in familiar places, difficulty with complex tasks (managing finances, cooking), language problems worse than expected, personality and behavioral changes, impaired judgment, difficulty managing daily activities. Key distinction: Normal aging does NOT significantly impair daily functioning. Memory complaints are common in normal aging, but objective testing is normal or consistent with age. Any concerns should prompt evaluation, as treatable causes of cognitive impairment exist (hypothyroidism, B12 deficiency, depression)."
What is the cholinergic hypothesis of Alzheimer's disease?,"The cholinergic hypothesis (proposed 1982) posits that Alzheimer's disease is caused by selective degeneration of basal forebrain cholinergic neurons (nucleus basalis of Meynert) projecting to the hippocampus and cortex. Supporting evidence: Loss of choline acetyltransferase activity correlates with dementia severity; cholinergic neuron density reduced by 70-90% in late AD; anticholinergic drugs impair memory. Limitations: Cholinergic loss is a consequence, not the cause (amyloid/tau pathology precedes it); cholinesterase inhibitors (donepezil, rivastigmine) have modest symptomatic benefits but don't halt disease progression; cholinergic neurons in other regions of the brain are also affected. The hypothesis led to the only widely available AD treatments but is now viewed as incomplete."
What precautionary measures should Alzheimer's caregivers take?,"Home safety: Remove trip hazards, install grab bars and handrails, use door alarms to prevent wandering, medication lockboxes, stove safety knobs, ID bracelets with ICE contact. Monitoring: GPS tracking device, door/window sensors, medical alert systems. Communication: Use simple sentences, give one instruction at a time, validate emotions, avoid arguing about memory errors. Daily routine: Maintain consistent schedule to reduce confusion and agitation. Caregiver self-care: Respect burnout warning signs, join caregiver support groups, seek respite care, consider adult day programs. Legal/financial planning: Durable power of attorney, healthcare proxy, advanced directives should be established while the patient still has capacity. Medical follow-up: Regular dementia specialist visits, medication review."
What is the gut-brain axis and its role in neurological disease?,"The gut-brain axis is a bidirectional communication network between the enteric nervous system (gut's intrinsic nervous system), the gut microbiome, and the central nervous system, mediated via the vagus nerve, immune system, HPA axis, and metabolites. In Alzheimer's disease: dysbiosis (altered gut microbiome) found in AD patients; gut microbiome alterations may affect amyloid aggregation and neuroinflammation; probiotics and dietary interventions (Mediterranean diet) modulate the microbiome. In Parkinson's disease: alpha-synuclein pathology may start in the gut (Braak staging 0 – vagal neurons affected early); constipation precedes motor symptoms by years. In epilepsy: ketogenic diet (a gut microbiome modulator) is highly effective in refractory epilepsy. Active research area with therapeutic implications."
What is the difference between convulsive and non-convulsive seizures?,"Convulsive seizures have visible motor manifestations: rhythmic jerking (clonic movements), muscle stiffening (tonic movements), or combinations thereof. Types: generalized tonic-clonic (grand mal), focal motor seizures. Non-convulsive seizures (NCS) lack prominent motor activity and are recognized only by altered mental status (confusion, unresponsiveness) or subtle signs. Types: absence seizures (brief staring, common in children), complex focal seizures (automatisms, altered awareness), non-convulsive status epilepticus (NCSE). NCSE is underdiagnosed in ICU patients – continuous EEG monitoring is essential. NCS and NCSE carry significant morbidity if untreated but are often misattributed to metabolic encephalopathy, postictal state, or psychiatric illness. EEG is essential for diagnosis."
How is EEG used to evaluate headaches and migraines?,"EEG in headache evaluation: Migraine with aura can show transient posterior slow-wave abnormalities during the aura phase, correlating with cortical spreading depression – a wave of neuronal depolarization spreading across the cortex at 3-5 mm/minute. Interictal EEG is usually normal in migraine. EEG is NOT a diagnostic test for migraine – it's a clinical diagnosis. EEG can help if seizures are in the differential (migraine-epilepsy syndrome, 'migralepsy'). Occipital lobe epilepsy can mimic migraine with visual symptoms followed by headache. EEG is recommended when seizures cannot be reliably excluded, especially with atypical aura features or prolonged postictal headache. Routine EEG is not indicated for uncomplicated migraine evaluation."
What is transcranial magnetic stimulation (TMS) in neurology?,"TMS uses rapidly changing magnetic fields to induce electrical currents in superficial brain cortex. Types: single-pulse TMS maps motor/speech cortex for pre-surgical planning. Repetitive TMS (rTMS): low frequency (1 Hz) is inhibitory, high frequency (10-20 Hz) is excitatory. FDA-approved rTMS uses: Major Depression – DLPFC (left, high frequency or Right, low frequency) stimulation reduces depressive symptoms in drug-resistant cases. OCD – combined DLPFC and PFC protocol approved 2018. Migraines prevention – single-pulse TMS device cleared for acute treatment. Investigational: Alzheimer's disease (hippocampal connectivity targeting), post-stroke rehabilitation, tinnitus. TMS-EEG combined system provides real-time measure of cortical excitability. Side effects: headache, scalp discomfort, rare seizures."
What are the common causes of memory problems besides Alzheimer's disease?,"Many treatable conditions can cause memory problems: Medication side effects – anticholinergics, benzodiazepines, opioids, statins, beta-blockers, sleep aids. Metabolic/endocrine – hypothyroidism, vitamin B12 deficiency, folate deficiency, thiamine deficiency (Wernicke encephalopathy), zinc deficiency, cortisol excess/deficiency, liver encephalopathy, kidney disease. Psychiatric – depression ('pseudodementia'), anxiety, PTSD, bipolar disorder. Sleep disorders – obstructive sleep apnea, insomnia, circadian rhythm disruption. Vascular – TIAs, strokes, uncontrolled hypertension. Infections – neurosyphilis, HIV, HSV encephalitis. Autoimmune – autoimmune encephalitis (anti-NMDA-R, anti-LGI1, anti-CASPR2). Structural – normal pressure hydrocephalus (triad: cognitive impairment, gait abnormality, urinary incontinence), subdural hematoma, tumors. All potentially reversible causes should be excluded before attributing symptoms to neurodegenerative disease."
What is Lewy body dementia and how does it differ from Alzheimer's?,"Lewy Body Dementia (LBD) is the second most common neurodegenerative dementia after Alzheimer's, accounting for 15-20% of cases. Core features: Fluctuating cognition (day-to-day or hour-to-hour variation in alertness), recurrent vivid visual hallucinations, Parkinsonism (tremor, rigidity, bradykinesia). Supportive features: REM sleep behavior disorder (often precedes dementia by decades), severe neuroleptic sensitivity (antipsychotics can be fatal), dopaminergic imaging (DaTSCAN) abnormality. Pathology: Alpha-synuclein accumulation in Lewy bodies throughout brainstem, limbic system, and cortex. EEG: Prominent posterior slow waves, occipital dominant frequency slowing, temporal theta. vs. Alzheimer's: LBD has earlier and more severe psychiatric/motor symptoms, fluctuating course, relative preservation of medial temporal lobe on MRI. Cholinesterase inhibitors are effective for LBD, especially visual hallucinations."
